"","month","total_monthly_VOC_cases","total_VOC_seqs","seq.take","VOC","seqpercase","sum.take","sum.avail","sum.cases","prop.cases","prop.take","prop.avail"
"1","2021-11",53146.1666382332,2187,501,"BA.1",0.0094268322946096,25000,903272,64792594.1888953,0.000820250636720791,0.02004,0.00242119760160838
"2","2021-12",5620685.88848865,270254,2128,"BA.1",0.000378601480712205,25000,903272,64792594.1888953,0.0867488940495605,0.08512,0.29919448405353
"3","2022-01",37880759.3009531,459580,14335,"BA.1",0.000378424304700759,25000,903272,64792594.1888953,0.584646436450995,0.5734,0.508794693071411
"4","2022-02",18890431.2468206,162992,7148,"BA.1",0.00037839263204767,25000,903272,64792594.1888953,0.29155232142346,0.28592,0.180446200037198
"5","2022-03",2347571.58599471,8259,888,"BA.1",0.000378263225410329,25000,903272,64792594.1888953,0.0362320974392635,0.03552,0.0091434252362522
"6","2021-12",85125.2106535399,5276,501,"BA.2",0.00588544799071421,25000,404338,38192517.3213262,0.00222884524571537,0.02004,0.0130484891353274
"7","2022-01",8081267.94988693,73968,5196,"BA.2",0.00064296840944034,25000,404338,38192517.3213262,0.211592964189728,0.20784,0.182936058446151
"8","2022-02",15965852.4879259,210561,10264,"BA.2",0.000642872030025462,25000,404338,38192517.3213262,0.418036139215437,0.41056,0.520754912968853
"9","2022-03",14060271.6728598,114533,9039,"BA.2",0.000642875202578608,25000,404338,38192517.3213262,0.36814205134912,0.36156,0.283260539449668
"10","2021-11",4597.21186797767,209,209,"BA.1.1",0.045462338043589,25000,791147,69100091.0028867,6.6529751281885e-05,0.00836,0.000264173408987205
"11","2021-12",2350271.59460918,100352,844,"BA.1.1",0.000359107433343399,25000,791147,69100091.0028867,0.034012568731798,0.03376,0.126843683917148
"12","2022-01",33740112.6948003,386506,12106,"BA.1.1",0.00035880140974946,25000,791147,69100091.0028867,0.488278846020489,0.48424,0.488538792411524
"13","2022-02",27844224.0149422,280639,9990,"BA.1.1",0.0003587817708491,25000,791147,69100091.0028867,0.402954954339771,0.3996,0.354724216864881
"14","2022-03",5160885.48666702,23441,1851,"BA.1.1",0.000358659382150989,25000,791147,69100091.0028867,0.0746871011566602,0.07404,0.0296291333974596
