"lineage"	"alias"	"group"	"col"
"1"	"B.1.621"	"B.1.621"	"B.1"	"#BCBDDC"
"4"	"B.1.621.1"	"B.1.621.1"	"B.1"	"#9E9AC8"
"2"	"B.1.621.2"	"B.1.621.2"	"B.1"	"#807DBA"
"3"	"BB.2"	"BB.2"	"B.1"	"#6A51A3"
