"","year","total.trav.yr","mean.trav.yr","median.trav.yr","max.trav.yr","min.trav.yr"
"1","2018",313080,31.0318168302111,1,496,0
"2","2019",402252,34.5577319587629,0,806,0
"3","2020",65596,5.43103162775294,0,232,0
"4","2021",195168,16.2032378580324,0,593,0
"5","2022",740704,121.287702636319,17,1319,0
"6","2023",86792,94.2366992399566,20,544,1
