variant,boot,string
eta,4,"rate 0.000169261 [0.000149468; 0.000178092], tMRCA 2019-07-06 [2018-11-30; 2019-09-21], objective function 0.055371"
eta,5," rate 0.000167332 [0.000149228; 0.000174695], tMRCA 2019-06-07 [2019-01-04; 2019-09-09], objective function 0.0593673"
eta,6," rate 0.000164495 [0.000143933; 0.000166676], tMRCA 2019-04-17 [2018-11-04; 2019-08-06], objective function 0.0563171"
eta,7," rate 0.000170577 [0.000152799; 0.00017307], tMRCA 2019-06-26 [2019-01-19; 2019-09-23], objective function 0.0582693"
eta,8," rate 0.000163237 [0.000145161; 0.00016626], tMRCA 2019-06-12 [2018-10-16; 2019-09-20], objective function 0.063857"
eta,9,"rate 0.000152266 [0.000136224; 0.000154872], tMRCA 2019-05-06 [2018-12-14; 2019-09-11], objective function 0.0567453"
eta,10," rate 0.000168906 [0.000152328; 0.000170206], tMRCA 2019-06-06 [2019-01-10; 2019-10-14], objective function 0.0589686"
gamma,1," rate 0.000174678 [0.000167719; 0.000176008], tMRCA 2019-06-11 [2018-12-16; 2019-09-04], objective function 0.211133"
gamma,2," rate 0.000175869 [0.000166719; 0.000176986], tMRCA 2019-06-03 [2018-10-30; 2019-09-24], objective function 0.209474"
gamma,3," rate 0.000165397 [0.000157093; 0.000167937], tMRCA 2019-04-17 [2018-09-06; 2019-08-02], objective function 0.211303"
gamma,4," rate 0.000170047 [0.000162373; 0.000171773], tMRCA 2019-05-08 [2018-11-20; 2019-07-27], objective function 0.207036"
gamma,5," rate 0.000174906 [0.000166532; 0.00017687], tMRCA 2019-05-02 [2018-10-25; 2019-08-27], objective function 0.218022"
gamma,6," rate 0.000175694 [0.000169794; 0.000178436], tMRCA 2019-05-29 [2019-02-04; 2019-09-10], objective function 0.212705"
gamma,7," rate 0.000171948 [0.000164721; 0.00017265], tMRCA 2019-07-11 [2019-01-31; 2019-10-08], objective function 0.215178"
gamma,8," rate 0.00019412 [0.000184721; 0.00019485], tMRCA 2019-08-01 [2019-04-14; 2019-10-31], objective function 0.205545"
gamma,9," rate 0.000178731 [0.000171549; 0.00018101], tMRCA 2019-07-22 [2019-01-24; 2019-10-18], objective function 0.212659"
gamma,10," rate 0.000178987 [0.00017239; 0.00018049], tMRCA 2019-06-04 [2018-11-24; 2019-09-09], objective function 0.217572"
iota,1," rate 9.29085e-05 [8.67165e-05; 9.58825e-05], tMRCA 2018-07-27 [2017-08-03; 2019-02-22], objective function 0.102834"
iota,2," rate 0.000113852 [0.000105371; 0.000116436], tMRCA 2018-11-23 [2018-02-24; 2019-06-01], objective function 0.102285"
iota,3," rate 0.000110279 [0.000100398; 0.000112197], tMRCA 2018-11-11 [2017-09-18; 2019-04-12], objective function 0.103115"
iota,4," rate 0.000138564 [0.000124651; 0.000141183], tMRCA 2019-01-08 [2018-05-22; 2019-04-24], objective function 0.100421"
iota,5," rate 0.000108495 [0.000100508; 0.000114023], tMRCA 2018-11-27 [2018-03-21; 2019-03-29], objective function 0.102802"
iota,6," rate 0.00011236 [0.000105629; 0.000116557], tMRCA 2018-12-03 [2018-03-11; 2019-04-25], objective function 0.10297"
iota,7," rate 0.000124073 [0.000114831; 0.00012984], tMRCA 2019-01-29 [2018-02-25; 2019-05-17], objective function 0.103293"
iota,8," rate 0.000138377 [0.000128118; 0.000141151], tMRCA 2019-02-26 [2018-06-12; 2019-06-05], objective function 0.100613"
iota,9," rate 0.000131617 [0.000119695; 0.000134085], tMRCA 2019-01-31 [2018-07-10; 2019-05-08], objective function 0.101514"
iota,10," rate 0.000148837 [0.000137754; 0.000148837], tMRCA 2019-03-20 [2018-10-10; 2019-08-01], objective function 0.100915"
kappa,1," rate 9.52418e-05 [7.55696e-05; 0.000100365], tMRCA 2019-01-02 [2018-02-24; 2019-05-22], objective function 0.0547671"
