"lineage"	"alias"	"group"	"col"
"1"	"B.1.1.7"	"B.1.1.7"	"B.1.1"	"#00441B"
"2"	"Q.1"	"B.1.1.7.1"	"B.1.1"	"#17813C"
"4"	"Q.3"	"B.1.1.7.3"	"B.1.1"	"#4DB485"
"3"	"Q.4"	"B.1.1.7.4"	"B.1.1"	"#99D8C9"
