"lineage"	"alias"	"group"	"col"
"1"	"P.1"	"B.1.1.28.1"	"B.1.1"	"#00441B"
"10"	"P.1.10"	"B.1.1.28.1.10"	"B.1.1"	"#005A24"
"8"	"P.1.12"	"B.1.1.28.1.12"	"B.1.1"	"#03702E"
"9"	"P.1.12.1"	"B.1.1.28.1.12.1"	"B.1.1"	"#17813C"
"4"	"P.1.13"	"B.1.1.28.1.13"	"B.1.1"	"#29924F"
"3"	"P.1.14"	"B.1.1.28.1.14"	"B.1.1"	"#3AA66B"
"7"	"P.1.15"	"B.1.1.28.1.15"	"B.1.1"	"#4DB485"
"2"	"P.1.17"	"B.1.1.28.1.17"	"B.1.1"	"#61BF9E"
"5"	"P.1.2"	"B.1.1.28.1.2"	"B.1.1"	"#7CCBB4"
"6"	"P.1.7"	"B.1.1.28.1.7"	"B.1.1"	"#99D8C9"
